昵称,性别,时间,点赅,评论,IP属地,"二级评论条数,条数相同说明在同一个人下面",等级,uid,rpid
中津丶静流,保密,2024-12-08 12:38:28 北京时间,12,回复 @仿佛就能发光 : 后面又搁着说外国商品利润率高，垄断啥的，听得我想笑，天天说这话，以前我还信，现在信不了一点,浙江,11,6,2495991,248755648849
暮梦雨-,保密,2024-12-08 12:58:53 北京时间,7,回复 @中津丶静流 : 为什么不信呢，他说的错在哪？,山东,11,4,1738143812,249176620384
尼古拉斯拜诺恩,保密,2024-12-08 13:14:19 北京时间,8,回复 @中津丶静流 : 是因为说到美国一点不好的地方你就要跳脚吗？,上海,11,6,321817338,249177986368
任自清,男,2024-12-08 13:55:16 北京时间,14,回复 @暮梦雨- :宁德时代够不够顶尖？电池都做到no.1了，员工不同样加班，根本还是分配问题,云南,11,5,412113972,248762095777
任自清,男,2024-12-08 13:55:50 北京时间,10,回复 @尼古拉斯拜诺恩 :宁德时代够不够顶尖？电池都做到no.1了，员工不同样加班，根本还是分配问题，别人不是傻子，这招现在不管用了，别随便把人打成汉奸,云南,11,5,412113972,248762048289
墨道南,男,2024-12-08 14:00:27 北京时间,5,回复 @仿佛就能发光 :胖东来怎么解释,河南,11,6,16188060,248762451761
中津丶静流,保密,2024-12-08 14:05:10 北京时间,7,回复 @尼古拉斯拜诺恩 :上来就给别人扣帽子，您可真厉害,浙江,11,6,2495991,248762905745
暮梦雨-,保密,2024-12-08 14:41:10 北京时间,0,回复 @任自清 :详细说说？还是不明白，人少了用高精尖的技术知识产权来拉动生产总值不是很好的方向吗,山东,11,4,1738143812,249185723376
尼古拉斯拜诺恩,保密,2024-12-08 14:46:49 北京时间,1,回复 @任自清 :真是招笑。中国存在分配问题跟发达国家是否通过不平衡的国际分工剥削发展中国家有矛盾吗？你这不就是二极管？别人不是傻子，这招现在不管用了，别整的美国说不得似的。,上海,11,6,321817338,249186284784
永胜小精灵,保密,2024-12-30 16:23:05 北京时间,0,回复 @墨道南 :胖东来就是个例，跳出许昌就玩不转，为啥你们大郑州没有胖东来,云南,11,6,25090293,250574419521
marstin,男,2024-12-08 02:05:14 北京时间,64,重要的是大基建搞完了，没人需要那么多煤了,美国,250,6,5408127,249123644512
糯米团子与宫保鸡丁,保密,2024-12-08 02:10:09 北京时间,23,回复 @marstin :煤是类比，类比整个第一产业和第二产业,北京,250,5,78479385,248706755777
MiBl,男,2024-12-08 02:31:10 北京时间,54,工业时代前，挖矿只要锄头加人。工业化后，需要排水机，矿车，轨道。现代需要智能化。挖矿不止是挖矿，还有上下游的产业链,福建,250,6,350851330,249125462288
糯米团子与宫保鸡丁,保密,2024-12-08 02:45:29 北京时间,10,回复 @MiBl :我知道呀，我就是做产业数字化转型的，涉及人工智能产业链分析，谨慎乐观吧,北京,250,5,78479385,248709134865
夜雪楪祈,保密,2024-12-08 03:23:28 北京时间,19,未来面临的养老压力与社保基金问题，远比劳动力问题大的多，,河北,250,4,488074143,249129247552
野比-_-大雄,男,2024-12-08 03:39:36 北京时间,30,没人的话，你生产出来的产品卖给谁呢？,广东,250,6,15320534,249130610960
糯米团子与宫保鸡丁,保密,2024-12-08 03:46:39 北京时间,1,回复 @夜雪楪祈 :是的,北京,250,5,78479385,248713625777
糯米团子与宫保鸡丁,保密,2024-12-08 03:51:19 北京时间,9,回复 @野比-_-大雄 :有没有一种可能，消费端其实也并没有那么重要,北京,250,5,78479385,248714024289
野比-_-大雄,男,2024-12-08 03:57:43 北京时间,8,回复 @糯米团子与宫保鸡丁 :你产品卖给谁？,广东,250,6,15320534,249132164864
西凉伍定远,男,2024-12-08 03:57:56 北京时间,3,回复 @marstin :发电用,陕西,250,6,32517409,249132059264
野比-_-大雄,男,2024-12-08 03:57:57 北京时间,16,回复 @糯米团子与宫保鸡丁 :没那么重要你卖给谁,广东,250,6,15320534,249132098624
野比-_-大雄,男,2024-12-08 03:58:19 北京时间,12,回复 @糯米团子与宫保鸡丁 :你说说呗，别光说不重要,广东,250,6,15320534,249132110720
bili_408430437,保密,2024-12-08 04:13:47 北京时间,0,回复 @野比-_-大雄 :卖给西方人，从他们那里买石油矿产,陕西,250,5,408430437,249133562320
伊龙狸,男,2024-12-08 04:54:48 北京时间,13,回复 @bili_408430437 :西方反手制裁你，你产品卖哪去,山东,250,5,388552996,248719311745
南十字座a,保密,2024-12-08 05:22:16 北京时间,1,工业初期的工人用什么样的手机？开什么样的车？,浙江,250,6,64821406,249139352832
神叼侠侣,保密,2024-12-08 05:31:16 北京时间,4,5筐煤需要50个人用完，300筐煤需要多少人？,陕西,250,6,3833401,249140241216
神叼侠侣,保密,2024-12-08 05:31:35 北京时间,2,回复 @神叼侠侣 :[星星眼],陕西,250,6,3833401,249140248320
下水道消防栓,男,2024-12-08 05:34:05 北京时间,2,然后上个世纪初左右就开始经济大危机，再往后就是世界大战，全世界重新洗牌,广西,250,5,430725123,249140305744
见见的拉蒂娜,保密,2024-12-08 06:01:06 北京时间,6,生产效率＝剥削劳动者剩余价值的效率。,广西,250,6,4717026,249142511424
bili_408430437,保密,2024-12-08 06:10:38 北京时间,1,"回复 @伊龙狸 : 除了欧美之外的其他国家，包括南美、俄罗斯、非洲、中东、中亚。,然后呢？你还有什么牌？",陕西,250,5,408430437,249143104416
小白白听歌,保密,2024-12-08 06:12:14 北京时间,8,回复 @糯米团子与宫保鸡丁 :人口最重要是消费能力！为什么欧美厉害，因为他们是世界唯一的市场,福建,250,6,44701127,249143341744
ozzjiaozz,保密,2024-12-08 06:12:21 北京时间,5,那问题来了，挖那么多煤谁消费？人口不是只有生产能力，消费同样重要。,广东,250,6,252906010,249143277504
小白白听歌,保密,2024-12-08 06:12:50 北京时间,7,回复 @bili_408430437 :哈哈哈，你说的地方消费能力为0，比如非洲，贷款给他们买东西，然后免除贷款是不,福建,250,6,44701127,249143393536
小白白听歌,保密,2024-12-08 06:13:54 北京时间,3,回复 @bili_408430437 :除了欧美，其他市场都是掮客，最终目的是卖到欧美,福建,250,6,44701127,249143554464
永远愤怒的奶爸,保密,2024-12-08 06:21:14 北京时间,3,消费呢，矿车会买日用品，需要精神娱乐吗？需要付店租水电吗？需要课外培训吗？,福建,250,6,33174980,248726023185
BZ火鸡味锅巴,保密,2024-12-08 06:22:13 北京时间,1,回复 @野比-_-大雄 :全世界 一带一路,内蒙古,250,4,3546567766182408,249144162960
czxt123,保密,2024-12-08 06:24:49 北京时间,3,用你聪明的大脑想一下，有没有一种可能欧美才是中间商，我们可以直接对接原料产地，工业需要的从来都不是消费者，而是原材料，亚非拉国家直接用材料换我们的工业品，而不是被欧美过一遍手,海南,250,5,216250043,249144226960
BZ火鸡味锅巴,保密,2024-12-08 06:25:01 北京时间,2,回复 @小白白听歌 :非洲也有发达国家 中东也有老王爷 没有哪个地方应该一直穷 很多国家穷内乱不断 很大原因在于历史原因以及西方那些强盗分而治之,内蒙古,250,4,3546567766182408,249144300480
BZ火鸡味锅巴,保密,2024-12-08 06:26:07 北京时间,1,回复 @小白白听歌 :中国要做的就是打开这些国家的消费潜力 然后货品打进去 慢慢看吧 百年未有之大变局,内蒙古,250,4,3546567766182408,249144492352
bili_408430437,保密,2024-12-08 06:28:32 北京时间,1,回复 @小白白听歌 : 消费能力为0笑死，都21世纪了，你是从一百年前刚穿越过来的？,陕西,250,5,408430437,249144648016
小雅9527,保密,2024-12-08 06:31:38 北京时间,3,回复 @野比-_-大雄 :卖给全世界，为啥要在国内转,广东,250,6,20092498,248726700161
小雅9527,保密,2024-12-08 06:32:42 北京时间,0,回复 @伊龙狸 :你制裁得有本钱啊，伤敌八百自损一千是吧,广东,250,6,20092498,248726813201
遇狼共舞,男,2024-12-08 06:33:04 北京时间,5,你只看到了人是生产力的一面，没看到每个人庞大的消费需求。,浙江,250,6,258893638,249144949392
冰雕小猫,保密,2024-12-08 06:35:03 北京时间,0,回复 @marstin :初中生就闭嘴吧，查一查统计数据都说不来这种话,四川,250,6,51287963,248727048177
批评就封号,保密,2024-12-08 06:36:36 北京时间,0,回复 @野比-_-大雄 :卖外国人啊！赚美元啊！,江苏,250,4,411376725,249145109920
野比-_-大雄,男,2024-12-08 06:38:11 北京时间,4,回复 @BZ火鸡味锅巴 :现在电车都卖不出去,广东,250,6,15320534,249145273664
野比-_-大雄,男,2024-12-08 06:40:03 北京时间,1,回复 @批评就封号 :人家直接不和你玩了你咋办,广东,250,6,15320534,249145568800
bili_58963605092,保密,2024-12-08 06:44:30 北京时间,10,回复 @糯米团子与宫保鸡丁 :消费端确实不重要。以后生产出来的产品直接造一个机器当场销毁就行了，连运费成本都省下来。全部搞成自动化，需要的人就越来越少。要是把自动化维保做好，以后哪怕地球没人了，这个系统还能一直运转，岂不美哉？[嗑瓜子],江西,250,3,1479429568,248727684481
Jacky2796,保密,2024-12-08 06:46:32 北京时间,0,回复 @野比-_-大雄 :按需分配,湖南,250,5,669229805,249146090688
聪哥你好呀,保密,2024-12-08 06:50:47 北京时间,0,回复 @野比-_-大雄 :出口。,上海,250,6,6002937,249146295296
゚゙゙゚゚゙,保密,2024-12-08 06:53:04 北京时间,1,回复 @野比-_-大雄 :所以产品生产出来的最终目的是满足物质与精神需求还是拿来换一张纸的？,广东,250,6,93876500,249146451840
流浪球场的瓢虫,保密,2024-12-08 06:57:23 北京时间,0,问题是产能提高了60倍，人口下降了多少倍[调皮]需求没有哇那么多煤给机器人用吗,湖北,250,5,326742489,248728655057
开进黑夜的白,保密,2024-12-08 07:05:29 北京时间,0,资源最后要靠人消费，人活着钱没了，还是钱有了人没了，这同样也是一个国家层面问题[笑哭],湖北,250,5,414194638,249147468528
晓兴master,男,2024-12-08 07:06:21 北京时间,2,回复 @夜雪楪祈 :有没有一种可能，养老也越开越无人化了，比如以前养老院，一个护工可能需要照顾 2-3 个老人，现在有 Ai 了以后一个护工可以照顾 10 个甚至更多，科技发展朝着无人化发展意味着各行各业所需要的人力也越来越少，养老问题也是一样的。,广东,250,6,11546321,249147547376
晓兴master,男,2024-12-08 07:08:26 北京时间,0,回复 @野比-_-大雄 :产品卖给谁自然是市场选择，没那么多人需求的产业自然就会减少然后升级，这本来就不是人口问题，这是市场自然选择，跟要讨论的人口其实关系不大,广东,250,6,11546321,249147638896
晓兴master,男,2024-12-08 07:12:36 北京时间,6,回复 @ozzjiaozz :学过初中政治都知道消费与生产是互相影响的，有需要才会有生产，没需要自然就不生产呗，这又不是什么很奇怪的事情，为什么从你嘴里说出来好像没有消费就是什么很离谱和不能接受的事，人口下降消费和生产都会下降，这是自然的而且会保持动态平衡，再加上国家经济调控，以及产业技术升级这就不是一件多么严重的问题。,广东,250,6,11546321,249148087808
我是你的人任,保密,2024-12-08 07:22:32 北京时间,1,大啥笔，你生产率再高，没人消费有什么用？最后不还是人口问题吗,广东,250,5,344660573,248730512609
飘渺￠虚幻,男,2024-12-08 07:23:24 北京时间,2,人口是国家的基石怎么可能不重要，这是重中之重,广西,250,6,118529,249148741200
532舍草某某良,保密,2024-12-08 07:28:22 北京时间,0,人口才是一个国家的未来，一个大部分人口是老人的国家不可能有活力的，即使未来工业机器人再发达也改变不了这一事实。,浙江,250,6,164491565,248730848129
请给我来二两猪肉丶,保密,2024-12-08 07:30:11 北京时间,0,回复 @糯米团子与宫保鸡丁 :不可能，世界上发达国家的经济主体消费端都是占比大头。,广西,250,5,499273516,249149257296
bili_408430437,保密,2024-12-08 07:33:20 北京时间,0,回复 @532舍草某某良 :笑死，这两者有逻辑关系吗？,陕西,250,5,408430437,249149430544
野比-_-大雄,男,2024-12-08 07:37:39 北京时间,0,回复 @晓兴master :人口真不重要这么多国家就不会着急了,广东,250,6,15320534,249149789840
夜雪楪祈,保密,2024-12-08 07:37:59 北京时间,0,回复 @晓兴master :我说的是养老对子女的资金压力，而且现在养老保险的缴纳人数越来越多，养老资金的亏空能不能填补的上，,河北,250,4,488074143,249149889952
冰殇梦羽,女,2024-12-08 07:40:45 北京时间,0,回复 @bili_408430437 :这边建议仔细了解一下经济危机是怎么形成的，原因是什么[OK],湖北,250,6,352724474,248731713713
楚沐然,男,2024-12-08 07:46:49 北京时间,0,人口不仅仅是生产力，还可以构建市场，就现在这国际环境，自己的人口在萎缩，内循环再玩不起来，你猜接下来该怎么办[doge],广东,250,5,382630363,248732186705
快奔跑别回望,男,2024-12-08 07:50:29 北京时间,1,回复 @marstin :有一定道理，但谁去维护如此庞大体量的基建,浙江,250,5,36060957,248732395537
楚沐然,男,2024-12-08 07:52:30 北京时间,5,以前敢跟西方叫板，第一东西够便宜，第二我们这里就是个巨大的消费市场，许多西方企业舍不得这块肥肉。一旦你的人口没了，这个巨大的消费市场没了，你再用便宜来跟西方叫板，你看看别人会不会当回事[doge]随便加加关税就能搞死你，反正你也没市场，西方也不用考虑他的东西要不要卖给你了。,广东,250,5,382630363,248732569777
60Ekm自拍像素点,男,2024-12-08 07:54:13 北京时间,2,人口不变的情况下你如何凭空抵达到这种生产率呢？抵达了以后  这些煤你打算怎么消化呢  该不会是白白烧着玩吧？经济分工和形态肯定是越来越多越来越细密越来越纵深的。十亿级人口没问题，在保证物质生产的比例和绝对数量的情况下   服务业可以吸纳70%以上人口,广西,250,6,44152950,248732601457
Terminator-100,保密,2024-12-08 07:57:12 北京时间,0,关键是消费者也没了啊[笑哭],北京,250,5,328037593,248732895281
流逝gjg,男,2024-12-08 07:58:53 北京时间,0,你们都在说科技发展 别忘了科技发展也是需要人才的 如果生育率降低 也意味着潜在人才率也在降低 同样还有一句话 “计划永远赶不上变化” 人类或许可以通过计划来进行一些改变 但地球甚至太阳系或者银河系或者整个宇宙的变化 那个变化人类是无法掌控的[doge][doge][doge],广东,250,5,1620369913,249151402160
小高也要加油呀-,保密,2024-12-08 08:02:03 北京时间,0,消费呢[微笑]生产早就不是重点了,甘肃,250,5,121967645,249151511024
noobarms,保密,2024-12-08 08:02:04 北京时间,0,人口少科技就慢，国家队收税也少，科研补贴也少,加拿大,250,6,8215576,248733228033
我的慧琳宝贝,保密,2024-12-08 08:02:53 北京时间,0,这。。。，一个产业上产能上升和岗位下降，没啥参考性吧。宏观上看，过去人均收入还有就业、教育什么的都和现在比不了。人口问题涉及太多了方面了,甘肃,250,6,475535634,249151652944
罪罪无情,保密,2024-12-08 08:12:50 北京时间,3,回复 @野比-_-大雄 :可以逼着你再买啊，把你房子车子报废了，逼你买新的，买的时候上税，买了以后使用还得交费，他们可不是那娇滴滴的女王，有的是力气和手段,新疆,250,5,399931875,248733955953
暗影517,保密,2024-12-08 08:14:02 北京时间,0,都没人从发展角度考虑么？只有大量产生剩余价值，才能让剩余价值流入到科研，才能推动社会进步。只不过现在的科研基础耗材（寿命有限）--科学家也越来越难培养。,浙江,250,5,404745465,248733981425
霓娜塔1,保密,2024-12-08 08:14:22 北京时间,0,回复 @MiBl :工业时代前，挖矿只需要锄头加人？难道矿都是自己运输、冶炼、排水的？那时候就没有上下游产业需要用人力？,湖南,250,4,37997192,248733988769
贪吃小白,保密,2024-12-08 08:17:07 北京时间,2,你只看到了产能增加了60倍，有没有想过多出来这59倍产品谁来消费？人口不单是劳动力，也是消费群体。你就算是亿万富翁你一次也只能吃一口饭，睡一张床，躺在一个小盒子里。,云南,250,6,36294131,249152619952
素雪青锋,保密,2024-12-08 08:23:47 北京时间,2,你这有个问题，产能是翻了60倍，除非你挖的“煤”可以卖到国外，不然就是翻600倍，国家经济还是发展不起来,浙江,250,5,320856284,248734757793
有生之年再遇赫萝,男,2024-12-08 08:28:54 北京时间,0,回复 @野比-_-大雄 :有人没工作，没钱，不也和没人一样,四川,250,6,22321977,248735162305
532舍草某某良,保密,2024-12-08 08:31:22 北京时间,1,回复 @bili_408430437 :本来想和你说两句，但看见你头像就觉得算了，你高兴就好😀,浙江,250,6,164491565,248735317713
被录取的,保密,2024-12-08 08:35:22 北京时间,2,回复 @野比-_-大雄 :你对比下以前的基本消费吃住行穿要花多少钱，现在的吃住行穿花多少钱，还不算其他的，以前养孩子花多少钱，现在花多少钱，人越少消费越少就是一个伪命题。,上海,250,5,189815756,248735680289
被录取的,保密,2024-12-08 08:36:02 北京时间,0,回复 @神叼侠侣 :有可能一个人就能用完。,上海,250,5,189815756,248735700401
情若欠梦变迁,保密,2024-12-08 08:48:17 北京时间,0,问题是产能提升了60倍，工人工资并没有增加多少，反而老板挣得多了,宁夏,250,2,12033713,249155141584
ANTurparty,保密,2024-12-08 08:48:50 北京时间,0,回复 @bili_408430437 :买得起吗？,广东,250,3,3546560138840166,248736656593
孤孤寡寡小云吞,男,2024-12-08 08:53:44 北京时间,2,回复 @糯米团子与宫保鸡丁 :消费端才是最重要的吧？[思考]产能过剩只会导致经济危机，但是需求过剩会催生产能,辽宁,250,5,475518090,249155543424
bili_408430437,保密,2024-12-08 09:02:55 北京时间,0,回复 @ANTurparty : 当然可以。,陕西,250,5,408430437,249156327504
bili_408430437,保密,2024-12-08 09:04:22 北京时间,0,回复 @532舍草某某良 :怎么？你是鱿鱼丝？看到我头像羞辱你的犹太野爹所以你破防了？,陕西,250,5,408430437,249156319104
梦中柳巷,保密,2024-12-08 09:09:04 北京时间,1,回复 @被录取的 :人越少就是消费越少，对群体来说确实是如此。现在一个人吃穿住行花的确实比以前多，那现在两个人花不就比现在一个人多了吗？还是以前就两个人比一个人花的少？只要在同一个时代同一阶层两个人肯定是比一个人的消费能力更大。,北京,250,5,1862474189,248738074433
Hey挡,保密,2024-12-08 09:11:38 北京时间,1,[吃瓜]恩 不重要，所以请问发达国家吃饱了钱没处花去补贴生育 德国吃饱了引进中东人口改善人口结构。脑子不好可以闭嘴，没人口，我们现在和菲律宾差不多。,北京,250,6,3229466,248738356449
栾小猪,保密,2024-12-08 09:14:37 北京时间,0,生产力上来了，结果没有需求。,重庆,250,4,686178737,249157361856
城市漫步-园游记,男,2024-12-08 09:16:25 北京时间,0,一切的生产都是为了消费，正常状态是生产、消费动态平衡，社会螺旋上升，货币是个体兑换消费品的中介，目前情况是分配不合理小部分人掌握大量货币，大部分人缺乏货币，整个社会的生产-消费环节别打断了。,广东,250,6,260585527,249157350944
骑小猪看日落了,男,2024-12-08 09:17:24 北京时间,0,回复 @野比-_-大雄 :长时间积累出来的问题，如果人当时就少的话，生产关系就会和谐，也不至于现在人口变少而出现越来越难的现状,重庆,250,5,499740591,248738794337
被录取的,保密,2024-12-08 09:25:05 北京时间,0,回复 @梦中柳巷 :不一定，还有发展以前结婚自行车到现在的汽车，最主要的还是发展，你没发展起来就算你多了100个人，你消费还抵不上一个人。,上海,250,5,189815756,248739529521
被录取的,保密,2024-12-08 09:27:27 北京时间,0,回复 @Hey挡 :脑子不好就可以去医院看看，菲律宾人口可不少，印度人多吧？还有德国现在怎么那么多人反对这些移民？单纯的这样对比我觉得你脑子更有问题。,上海,250,5,189815756,248739688161
有梦想的pp程,男,2024-12-08 09:28:02 北京时间,0,重要的是人口结构，人口数量在咱们这个量级都不是个事,陕西,250,6,393645089,248739707665
寻尘黔墨,保密,2024-12-08 09:29:20 北京时间,0,人口是消费，没有消费你一天生产1亿煤，卖给谁，屯家里看嘛？,江苏,250,5,13238957,248739751441
北宋27734,保密,2024-12-08 09:35:02 北京时间,2,回复 @野比-_-大雄 :你觉得现在中国人的消费力很高吗？生产力提升之后消费力自然会提升，剩下的人口可能能购买比现在人更多的物品。你要是真的到了生产出来都没人卖的地步了，那还说啥呀，直接迈步进入共产主义呗，所有东西交给国家每个人按需分配，剩余物资去搞科学工程。,江苏,250,5,520700685,248740264225
有梦想的pp程,男,2024-12-08 09:35:11 北京时间,1,"反对人口问题不重要论，人口问题一直都是国家民族最重要问题之一，没有人什么事情都做不成，,至于你说产能问题，你只能狭隘看到你的采矿，而没有发现科技发展大大又增大了更多的产业面，很多新兴产业，大大增加了就业需求。,再有，我们国家人口结构问题比人口数量本身重要的多，现在是人口锐减而不是缓慢下降，这带来的一定是灾难性的，需要更多措施解决问题。",陕西,250,6,393645089,248740236657
恐惧Lapeur,保密,2024-12-08 09:41:02 北京时间,1,回复 @糯米团子与宫保鸡丁 :你这个评论也是逆天，要是你工作了的话去问问你们老板客户重不重要？要是在学校去问问你们校长学生和财政拨款重不重要？没有消费怎么实现货币的流通呢，难道搞计划经济然后把牛奶倒进河里吗,湖南,250,5,358444783,248740707201
42692852628_bili,保密,2024-12-08 09:43:41 北京时间,0,"[滑稽] 根本不懂经济,单独以工业生产力作为标准,你也不想想 工业社会下,为什么那么喜欢倾销本国产品？,本质就是 劳动力价值化，存储及保值",江苏,250,6,437392193,248740879297
朕凌驾于一切之上,保密,2024-12-08 09:44:29 北京时间,0,十二小时两班倒转八小时三班倒，八小时三班倒转六小时四班倒，这么多人就有工作了。,天津,250,3,3546562244381510,249159813728
梦中柳巷,保密,2024-12-08 09:49:17 北京时间,1,回复 @被录取的 :以前是生产力不足，现在是产能过剩，都不是一个前提，理清逻辑再回复。,北京,250,5,1862474189,248741535873
噬元兽二喵,保密,2024-12-08 09:51:01 北京时间,0,回复 @MiBl :得了吧，以前产煤才多少？靠锄头和人挖现在一样多的煤，所提供的岗位比长产业链所提供的岗位要多的多。一筐鸡蛋100个，比5框每框10个鸡蛋要多。长产业链只不过增加岗位种类数量，而每种岗位所需人员会减少,江苏,250,5,627925642,249160364336
野比-_-大雄,男,2024-12-08 09:54:43 北京时间,0,回复 @北宋27734 :照你这么说就不会出现倒牛奶的现象了,广东,250,6,15320534,249160718272
被录取的,保密,2024-12-08 09:57:40 北京时间,0,回复 @梦中柳巷 :看不懂中文？你不懂发展是什么意思吗？你们天天叫产能过剩，反过来不是人多需要岗位？以前没有生产大家过的很好？,上海,250,5,189815756,248742178561
梦中柳巷,保密,2024-12-08 10:15:30 北京时间,0,回复 @被录取的 :你是懂发展的意思的[笑哭]那世界上还有什么问题吗？应该是没有了吧，毕竟发展就是答案。,北京,250,5,1862474189,248743657329
梦中柳巷,保密,2024-12-08 10:17:58 北京时间,0,回复 @被录取的 :竟然如此简单，厉害厉害[支持][支持][支持][支持][支持][支持],北京,250,5,1862474189,248743925681
被录取的,保密,2024-12-08 10:22:33 北京时间,0,回复 @梦中柳巷 :你是不是以为每个国家都能往好的方向发展？如果这个世界真的能高速发展其他的问题还真不算问题。,上海,250,5,189815756,248744298945
鹿璟z,男,2024-12-08 10:28:41 北京时间,0,按你这么讲，那是不是可以到了不工作但有社会福利的阶段了？毕竟没有劳动力岗位，劳动力被技术革命解放了,山东,250,6,52204894,248744767841
意义浅短,保密,2024-12-08 10:52:30 北京时间,1,但是需要煤的人减少了，你机器效率再高有什么用呢？没有需求，你机器一样要停摆。其次是要找到煤的新用途，比如发电，比如煤合成其他更有价值的化工原料去进一步更好的满足人新的需求，但是人新需求的产生也是要规模效应的。欧美的解决办法是养一个庞大的服务业来空转扩大这种需求产生GDP，吸引世界财富。我们要怎么办？我也不知道，但放弃人口，绝对是功在当下，罪在千秋的办法。当然了有些功确实今天确实得先立着才有机会罪。,广东,250,6,434862733,249165782368
hey烟雨,保密,2024-12-08 11:01:02 北京时间,0,人口的问题是产能的问题吗？为什么一定要为生产论呢？人口的问题明明是需求的问题,山东,250,5,32930945,249166493280
不完全自由主义,男,2024-12-08 11:01:36 北京时间,0,回复 @野比-_-大雄 : 出口,广西,250,5,666955585,248747471201
hey烟雨,保密,2024-12-08 11:02:05 北京时间,0,回复 @czxt123 :笑死，什么是消费市场啊[星星眼][星星眼][星星眼],山东,250,5,32930945,249166521024
下一次救赎,保密,2024-12-08 11:06:15 北京时间,0,回复 @晓兴master :养老院怎么ai？至少50年内还做不出这种机器人,辽宁,250,5,156763165,248747909921
下一次救赎,保密,2024-12-08 11:07:40 北京时间,0,回复 @晓兴master :没有市场需求哪来的钱升级？,辽宁,250,5,156763165,248748031153
米夏埃尔俄赛里斯,保密,2024-12-08 11:07:58 北京时间,0,人口是经济参与的基本单位，你产能增加600倍，你让谁消费？,浙江,250,5,74408637,249167141872
野比-_-大雄,男,2024-12-08 11:16:36 北京时间,0,回复 @不完全自由主义 :对方不和你玩呢？,广东,250,6,15320534,249167949008
下一次救赎,保密,2024-12-08 11:17:27 北京时间,0,回复 @被录取的 :以前有公立幼儿园，上学也不用补课，人少活动范围也小，一个自行车就可以城里随便跑，而且那时候工资才多少。人少最明显的就是出行成本降低，生活圈从小时候的一环到现在的三环,辽宁,250,5,156763165,248748903489
不完全自由主义,男,2024-12-08 11:21:44 北京时间,0,回复 @野比-_-大雄 :那对方吃啥用啥，就是因为对方需要才会进口，如果对方不玩那对方立马完完,广西,250,5,666955585,248749243201
阿卡林无存在感,男,2024-12-08 11:23:33 北京时间,0,你觉得人是工具吗？人不仅仅是生产者，也是消费者,福建,250,6,765716,249168450016
BeeBoom,保密,2024-12-08 11:26:52 北京时间,0,回复 @野比-_-大雄 : 社会福利高，人民对未来预期高，消费能力和消费欲望自然就来了,广东,250,5,12764720,249168639584
不完全自由主义,男,2024-12-08 11:28:14 北京时间,0,回复 @野比-_-大雄 :刚需，不得不玩,广西,250,5,666955585,248749743377
章北海的沉默,保密,2024-12-08 11:37:32 北京时间,1,回复 @marstin : 煤现在最主要的用途是化工和发电了,山西,250,6,396983434,249169647408
野比-_-大雄,男,2024-12-08 11:40:12 北京时间,1,回复 @不完全自由主义 :我们能生产的能种的，别的国家也可以。只有我们能别人不能的才叫刚需。但是没有这种东西存在。,广东,250,6,15320534,249169826144
不完全自由主义,男,2024-12-08 12:12:06 北京时间,0,回复 @野比-_-大雄 :去工业化了解一下，就是刚需,广西,250,5,666955585,248753468945
不完全自由主义,男,2024-12-08 12:19:23 北京时间,0,回复 @野比-_-大雄 :不刚需为啥要进口,广西,250,5,666955585,248754040145
水水馒头,保密,2024-12-08 12:31:13 北京时间,0,回复 @下一次救赎 : 养老院可以AI，但是问题在于90年向后的人按照目前的养老金体系都没法活着拿到养老金，谁住得起AI养老院呢,江苏,250,6,892586,248754932417
窃绿,保密,2024-12-08 12:35:58 北京时间,0,其实多出来了 全流程无人智能采矿工程系统 的研发设计售后维护后勤服务岗位，但是新技术的岗位，知识水平的需求比抡锄头的高太多了。未来人口大概会更加“精英”，扫大街的都会编程，那个平板控制一大堆无人设备。,辽宁,250,5,94183403,249174753344
边超脱边幻想,男,2024-12-08 12:49:06 北京时间,0,ber哥们，你的意思是用煤的企业用煤量一点不增呗？这么说的话，以前需要50个人才能围猎一头大象，现在给你发把大口径，你一天也能围猎20头大象了，产能提升100倍了，世界上早都没有饥荒了吧？,辽宁,250,6,353769608,249175931056
BZ火鸡味锅巴,保密,2024-12-08 13:00:45 北京时间,0,回复 @野比-_-大雄 :互相制裁呗 中国已经对美反制裁了就前段时间 到最后是打还是咋看世界走向了,内蒙古,250,4,3546567766182408,249176832224
野比-_-大雄,男,2024-12-08 13:19:32 北京时间,0,回复 @不完全自由主义 :这么大世界有别的国家没有去工业化，不是除了中国就没国家了,广东,250,6,15320534,249178532448
卄SAKURA丿,男,2024-12-08 13:19:53 北京时间,0,自动化出现后产生的上下游就业岗位呢？,山东,250,6,68331023,249178570128
熊宝强尼,保密,2024-12-08 13:23:10 北京时间,0,别忘了挖这么多煤为什么，因为要供应大量人口需求，当人口量只需要一个矿工一天开采一筐煤的时候，矿工和他的老板也快没饭吃了,浙江,250,4,472486520,249178900496
不完全自由主义,男,2024-12-08 13:24:30 北京时间,0,回复 @野比-_-大雄 :别的国家甚至连生产设备都没有怎么生产,广西,250,5,666955585,248759459137
不完全自由主义,男,2024-12-08 13:29:31 北京时间,0,回复 @野比-_-大雄 :照你这么说那早都制裁中国了为啥还要从中国进口，不就是因为别的国家满足不了嘛，刚需就是制裁了还要厚着脸皮去进口,广西,250,5,666955585,248759898449
