昵称,性别,时间,点赞,评论,IP属地,二级评论条数,等级,uid,rpid
闫氏,男,2024-04-29 14:49:11 北京时间,5,"老子一天tm在厂里干12-14甚至16小时，我谈恋爱？我结婚生孩子？没在厂里猝死就很不错了，请假条一天才批到下午5点半，但是实际上都是10点到11点下班,赶紧回去睡觉然后第二天七点爬起来上班，日复一日，工作时收手机，禁止交谈，回家种地更是不可能，一年到头不如工厂两个月多，攒钱干什么，还不是买车买房，当然我也不打算买房，顶多买车，这一个目标够我十年了，工资4000-5000一个月，我一个月攒不到3000。,在河南除了酒店每天八小时一个月2800没听过八小时的工作（不排除信息差）自由但是只能保证最低限度的吃饭，谈恋爱不给对象花钱那就约等于没谈，谈恋爱的基础是有足够的时间陪伴，有固定的工资，两情相悦，在这基础上才能结婚生育，穷苦人连这个都不配",河南,1,5,533692539,219121555968
读仅,男,2024-04-20 09:30:24 北京时间,9,现在还考虑结婚生孩子的有一个算一个都是脑子有问题,广东,3,6,1724761,217731054736
Dcorax,保密,2024-04-19 17:52:42 北京时间,5,挺好的你自己攒钱过好自己享受一生就好了生孩子这种现在普通人真不适合，除非是那种什么都不想就纯为了生而生的,山西,0,6,380473107,217650049584
ネリオ,保密,2024-04-19 10:56:50 北京时间,5,环境不适合繁衍，动物们会迁移到适合的地方，找不到适合的地方或者无法迁移就会停止繁衍,日本,5,5,62099,217591657248
another56,保密,2024-04-18 17:44:29 北京时间,5,一个月两千几养活自己都难[呲牙],江西,0,6,390375218,217501325472
默数年华,保密,2024-04-18 15:05:59 北京时间,5,"其实人自始至终都是个人利益为第一的生物,为什么英雄伟大 因为能做到的人太少 ,现在很多所谓的亲戚为什么感觉越来越疏远,最主要原因还真就是这社会不需要抱团就能存活的更自在,人性真就是最经不起考验的 ,最近考虑一个问题 如果犯罪的成本降低 收益变大 那么这世界会变成啥样呢",湖南,1,6,289456,217482451056
冒险国宝,保密,2024-04-18 04:59:39 北京时间,5,虽然看到了更多社会的真相，也更焦虑了。,湖北,0,6,26136804,217402402816
麦奎已经累了,男,2024-04-18 04:34:23 北京时间,5,这逻辑有问题，就好比鸡生蛋，蛋又孵鸡，鸡又生蛋那种，实际上有这么简单吗,江苏,0,5,481472869,217398558416
博格强尼,男,2024-06-02 13:42:28 北京时间,13,等世界只有俄罗斯 中国 朝鲜 阿富汗 伊朗 也门 黎巴嫩 巴勒斯坦 委内瑞拉 等这些国家  敌人都被彻底消灭了 世界美好了😁   那时生孩子的也许就多了？,四川,4,4,347150580,224403870512
来自M48星系的我,保密,2024-05-04 13:26:30 北京时间,10,"对于生育率下降，我给出的答案是：婚姻对女性要求过低，导致女性不思进取；婚姻法过度保护女性权益，导致男性权益丧失；基于社会现状，男性开始觉醒。,,受传统因素影响，社会默认女性会履行繁衍义务，于是主动调低了女性的社会贡献基准线——不要求女方有多少经济贡献或是承担多少社会责任，只要她愿意生育，那就可以享受安定的生活。而生育这个东西，在更年期之前都会保留。没有相关法律约束，女性在更年期前，都可以说自己“愿意生育，只是现在不愿意”。,,但，相关的低社会贡献，低经济门槛却保留了下来……只要她能养活自己，那就能够说自己是“独立女性”，从而拒绝承担额外的社会贡献——但是她们真的生了么？真的履行了生育义务么？,,并没有。,,看到女性没有履约，官方的第一想法是“给出的条件不够优厚，保障还没做到位”，于是加大力度增加女性权益，男方却没有一丝一毫的改变——哪怕已经有了婚姻关系，生育权也不做任何转移。,,但是，在生育权不做转移的前提下，“财产婚内共有，离婚酌情多分”却成为了女性在婚姻中能切实享受到的权力……就像商家既有不出货的权利，还有不经你同意就划扣你账户款项的权力——于是，离婚率上去了，结婚率下去了。,,经历了这么一波的男性也逐渐觉醒了：自己结婚图啥？图的不就是约定成俗的婚后待遇么！既然婚后待遇不受法律保护，那不结婚就是了……诶！如果自己已经设法享受到了婚后待遇……自己结婚的理由又是什么？,,于是，结婚率垮了。当婚姻制度瓦解后，女性再无法律保障，生育行为就变成了古代的样子：赌这个男人会为孩子提供经济，赌这个男人会为自己提供保障……但，有几个人敢赌的？,,于是，生育率也垮了。",湖北,0,5,168719550,219898098464
维克多华,男,2024-04-18 03:01:26 北京时间,18,差不多得了，以前人没钱也生啊，社会观念和风气变化了才这样的,青海,33,4,456332872,217386212672
关于时间,男,2024-04-24 09:04:08 北京时间,6,夹带私货，有点意思，真真假假的东西混到一块儿讲,河北,0,6,19194180,218321300864
v老麦v,男,2024-04-18 11:54:51 北京时间,6,生育率下降和老龄化确实是不可阻挡的趋势，但是，计划生育加快了老龄化到来的速度，加剧了老龄化的程度。所以从单个政策层面来讲，计划生育是当年最祸国殃民的政策之一。,四川,1,6,18630813,217453033872
很酷一只小熊猫,保密,2024-05-30 14:33:32 北京时间,4,河南出生69.5，按复读占一半来算，18年后高考人数和其实现在差不多，虽然一直说一点点减人口，但也就那样，基数太大，减几十年才能和美差不多,浙江,2,6,506047083,223935617600
老衲刚破戒,保密,2024-05-16 02:51:08 北京时间,4,"能够看到对社会尖锐问题进行讨论，我就感到非常的开心。于是我也静下心来思考了一番。下面是我对生育率下降问题，目前的总结。如有缺少或者错误还请指教！,1、婚姻是对性的需要（就算没有伴侣，现代的人对性的释放也有很多方式）,2、婚姻是对自身行为的一种束缚（也有很多方面会有好的获得，但现阶段的社会平均感受是：得到的苦大于乐）,3、现阶段的结婚成本远大于家庭的平均存款,4、当代让人消遣的方式更加丰富、有趣（相对于以前的社会，自己一个人也可以很快乐）,5、为什么要生孩子的原因在不断变化（现社会阶段）,6、养育孩子需要的钱远超平均收入,7、培养孩子需要巨大的时间和精力（对孩子负责人的人群），现社会阶段的平均休息时间远低于培养时间。",上海,0,5,343039986,221670567712
安德鲁的可爱空间,保密,2024-05-15 15:36:35 北京时间,4,摒弃儒家思想很重要,江苏,0,5,482694080,221624229648
PokemonRule,保密,2024-05-15 05:45:30 北京时间,4,都搁这儿看爽文儿来了[doge][doge],北京,0,6,188635142,221542778080
一枝白云枝上栖,保密,2024-05-14 12:17:48 北京时间,4,我连自己的未来都看不清，更别提我以后孩子的未来了。,江西,0,4,3493263596063116,221440256496
晒太阳真的好舒服啊,男,2024-05-13 10:20:06 北京时间,4,没钱没时间，难道要怀着孕在工位上生产吗,湖南,0,6,223404849,221263779776
林中心巷晚,保密,2024-05-13 05:36:46 北京时间,4,这不是计划生育已经成功了吗，这是大好事儿啊!,北京,0,6,12118153,221229283376
啊达成一致对外,保密,2024-05-13 03:13:23 北京时间,4,前面说的还行，后面就开始全是臆测了，日韩给补贴生育率不见提高是不假，但是你猜猜要没有补贴，那生育率恐怕就不是不见提高那么简单了吧？,辽宁,0,5,556885735,221208753280
wutianqi,保密,2024-05-12 10:36:00 北京时间,4,经济下行期什么妖魔鬼怪都冒出来了。将生育问题转变为利害关系是不可取的，你们是一个个活生生的人，不是资本异化的生产工具，孕育下一代的与否可以是任何一个原因，但是不能够片面的归咎于简单的加减法。,广东,0,6,1313083,221109492480
小木鱼SP,保密,2024-05-10 05:15:38 北京时间,4,"很简单的道理，任何生物都是在环境适宜的时候才会繁衍后代。人类个体可能会有各种各样的情况，但总体上必然是符合自然规律的。,自然环境、社会环境都是环境，生存环境也不仅仅是短期物质条件，还有稳定性、群体压力等等一系列影响因素。,有些人就是故意避而不谈实际问题，然后说些屁话转移矛盾，纯粹就是扯淡。",上海,0,6,4041996,220737064208
时之虫_,男,2024-05-04 12:22:18 北京时间,4,一天上几个小时的班？还没有双休,辽宁,1,6,21582943,219887425312
人菜嘴巴又不菜,保密,2024-05-03 02:52:52 北京时间,4,弹幕里还有很多人怪房价，本质上还是小农经济思维。对于从小发达地区长大的市区居民来说，生孩子对自己纯属负资产，我刷副本还能掉装备呢，生娃要钱要命，弄不好全是白给[doge],江苏,1,6,220287811,219640131296
堇色朦胧Panda,男,2024-04-29 14:42:19 北京时间,4,UP记得关私信，小心被阿B百万小粉红冲爆[吃瓜],四川,0,6,38560369,219120441328
子无何,男,2024-04-25 05:50:01 北京时间,4,"目前月入1w，每周995，不想生孩子[藏狐],原因很简单，一个是养孩子成本太高：一年也就攒五六万块钱，养个孩子就别想攒钱了，生活质量肯定大受影响；第二个是995的工作也没时间照顾孩子，打理好自己都费劲还想养孩子呢。,那问题来了，在私企工作普遍996，月入普遍不到5000的现实下，有多少人愿意去养这个孩子？天天就知道喊口号你替我养还是你给我分担经济压力？",浙江,0,6,175491812,218447400560
丢人女夭米青,保密,2024-04-23 03:28:27 北京时间,4,年轻人不想生孩子是年轻人的问题吗,辽宁,1,6,109468940,218135428960
二十二进棉被,男,2024-04-22 23:52:09 北京时间,4,00后表示:跳出三贷之外，不在五险之中,江苏,0,5,471947639,218115530624
不会写字的铅笔头,保密,2024-04-22 16:19:22 北京时间,4,"家里条件很一般，真的对未来没有信心，大学毕业以后累死累活一个月3000多还没社保(问就是小地方都不给交)，出去一线发现每个月恨不得还要亏钱，房租2000+自己做饭生活，已经超过我工资了，就是这么坑，毕业两年了干了好几家，目前也没遇到过会交社保的单位,最致命的还是我父母是60年代的人我是00后，这思想差距大到我想自杀，不仅有普通父母的那些问题，甚至更厉害，还停留在棍棒屈服模式，真的特别特别痛苦，他们思想还停留在以前一分钱没有还能生你现在为什么不行，也不许我太远，重男轻女还是有，觉得女孩找个好男人嫁了就可以了，在家完全一句话都说不成，真的很窒息，现在在小县城搬出来住，平白增加我的生活成本，这日子一点盼头都没有，还生什么啊",湖北,7,6,14090674,218096219776
gamebox,保密,2024-04-21 13:30:53 北京时间,4,以前EA有个经典RTS游戏叫《野兽与乡巴佬》，里面的村民要增加人口得满足一堆条件，否则搞不好最后人口老化死光你就只能看着一个空村落自觉读档,上海,0,6,53073402,217927118064
六爻新宠,女,2024-04-21 12:46:18 北京时间,4,太卷了，我不生了，中国卷的我太痛苦了,河北,1,6,22169504,217920525664
将心化作一片空白,保密,2024-04-21 09:02:40 北京时间,4,主要是单身巨爽，收支自由，父母压力也小，唯独无后，至于孤独，纯属扯淡，孤独个毛线,黑龙江,0,6,359372,217887909872
送终機,保密,2024-04-21 08:22:00 北京时间,4,如果生孩子是社会的责任，请社会履行抚养义务。如果生孩子是个人的责任，请社会尊重个人的选择。句句不谈薪资，条条不离奉献，桩桩不谈好事，事事皆讲境界。如果个体的困顿和集体无关，那么集体的荣辱又和个体有什么关系呢？ ,山东,1,5,623635311,217882475408
这不是狐闹吗_,保密,2024-04-21 07:45:56 北京时间,4,视频说了点实话 把一些思想已经固化的可怜老鬼弄破防了  哈哈,广东,0,5,349192108,217877741776
Roselia_Yukina,男,2024-04-21 06:42:43 北京时间,4,n.小楚：学生时代被逼只允许读书，社交能力为零，毕业后没找到工作，在家蹲着刷手机打游戏,广东,0,5,1699784796,217869758000
肘你3000遍,保密,2024-04-19 19:19:47 北京时间,4,工薪阶层的人自己一个人活好就够了，我一想到结婚需要彩礼，车贷房贷，光想想都焦虑。,广东,0,6,1972610,217654561440
焰月冥,保密,2024-04-19 18:19:57 北京时间,4,我自己什么样子我不知道[吃瓜]养个崽要花多少力气自己心里最清楚了。,江西,0,6,269527396,217651846944
我是拜月,保密,2024-04-19 17:41:42 北京时间,4,看看数据明显发现，富裕地方的出生率都高。非要说贵州的话，那里也有资源倾斜。,山西,1,5,30172528,217649282960
蓝色笨蛋琪露诺,保密,2024-04-19 15:26:40 北京时间,4,毕生奋斗甚至成不了帕鲁 神不神奇 意不意外[吃瓜],湖北,2,4,1788777360,217633330016
北辰绯杓,保密,2024-04-19 14:22:26 北京时间,4,身边一堆没有房子没资格谈恋爱的男士，和一堆打算找有一线房子的优质剩女,河北,0,5,1377975072,217623094272
__晓月.ッ秋楓,男,2024-04-19 12:10:40 北京时间,4,你这视角我之前就有这个观点但是没你讲的这么透彻  6 啊,重庆,5,6,642120,217603007184
kj-2020,保密,2024-04-19 02:46:31 北京时间,4,以前谁平分家产？我爷爷说过太爷爷有4兄弟但是独占家产的就是我们家，其他叔祖都要出去自谋生路。,广西,5,4,470780186,217530311504
桥南风雨,男,2024-04-19 01:12:54 北京时间,5,还用问？肯定是美国干的。别问我为什么，反正就是美国干的。,河北,0,6,92314063,217520657696
艾尔海猫,男,2024-04-19 01:03:15 北京时间,4,讲个有意思的现象，这个现象在四川很常见，四川的其他城市，例如绵阳，自贡，达州，盐亭等等，这些城市70%以上的年轻人和高学历人才，全部集中在成都或者外省，四川的二三线城市基本都是中老年人，年轻人非常少。,四川,5,5,221164503,217519787136
卑鄙的外乡人-_-,保密,2024-04-19 00:21:43 北京时间,5,我怕这视频啪的一下就没了[脱单doge][doge][妙啊][歪嘴][滑稽],四川,0,6,75101241,217516303120
点亮慵倦的夜,保密,2024-04-18 05:50:47 北京时间,4,农村不让盖房子了，全赶上城里了，你想留没有房地你能去哪里？要不是没地方去谁愿意挤进城市，待在乡下生活轻松惬意，没有那么多杂质，也没有那么多纷扰。,广西,4,5,70429987,217408802928
羽落风眠,男,2024-04-18 04:36:23 北京时间,4,是不想生还是没法生？挣这么点b钱只要买房连穿衣吃饭都费劲，难道我让我孩子来就为了让他走我的老路？谁有能力谁生不就好了。,河北,0,6,65275496,217398910480
负债几亿比非洲人还穷,男,2024-04-18 04:01:18 北京时间,4,我已经被害得生无可恋了还生孩子,湖北,0,5,1222579881,217393585552
打外星人的密苏里号,保密,2024-04-18 02:41:16 北京时间,4,评论发出来就没了……,广东,1,6,22581202,217384074416
请管好我的小白羊,男,2024-04-23 00:49:51 北京时间,10,一直有个想问的。现在人口那么多，少点人不好嘛？我记得刚建国的时候也就5-6亿人，现在不都13亿人了。人这么多各个方面都竞争得厉害,美国,8,5,403354902,218119596656
摸小脸,保密,2024-04-23 13:18:23 北京时间,6,根本没有讲到核心问题。生育降低核心还是生产资料转移了被集中了，大部分劳动人群没有获得生产力提高带来的收益。走资走社也早就讨论过了的，就是劳动剩余被谁拿走的问题。我们现在只是现在生产力还不够高，拿现在国内发达地区和欠发达地区一对比就清晰了，体制说明了体制没有问题，问题还是出在我们还需要努力往前冲一波，冲上去了成果是能够覆盖全体的。,云南,1,4,294910793,218212112976
夜月思流年,男,2024-04-20 12:20:29 北京时间,6,挺不能理解现在很多人的想法的，生育是自己的事，没必要各种喷，而且但凡学过经济的都知道人口是根本，人口下降最后苦的还是普通人，（这都是我的理解，如果要反驳那你的观点都是正确的）,新疆,2,5,411366468,217756783680
高老稀,保密,2024-05-31 13:23:58 北京时间,7,"[喜极而泣]其实我觉得大多数人不生孩子还没到up说的考虑那么多东西的地步，就是简单的生不起，甚至结婚都结不起，再甚至连恋爱都谈不起，没钱还没时间,穷就算了还忙😅，穷忙穷忙的,当然穷要是不忙可能社会就不稳定了，所以可能这也是设计好的。,我觉得也没必要想那么多，能怎么活就怎么活吧，想那么多也没用",黑龙江,0,5,628066121,224073941280
惊蛰大寒,男,2024-05-30 13:16:21 北京时间,3,简单的经济问题，成本大于收益了嘛。我们获得的不够人的再生产的成本。,河北,0,5,440086099,223923616096
叽里呱啦先生睡着了,保密,2024-05-29 16:09:53 北京时间,3,从逻辑上说有一定道理。但人是有感性呀。所以结论一定是不准确的，哈哈。,湖北,1,5,173382085,223804140976
鹅鹅鹅鹅鹅鹅嗝鹅鹅,男,2024-05-17 06:33:41 北京时间,3,生孩子目前看来是个投资回报率为负的事，爱谁干谁干，反正我不干,北京,0,5,302700504,221849520368
未见烟雨-怎悟道生,男,2024-05-16 14:39:30 北京时间,3,富裕的地方人口出生率都高，而偏僻的地方出生就低……,北京,3,5,36251090,221766148640
shuyuyu520,保密,2024-05-16 05:23:45 北京时间,3,这博主是本末倒置，把生孩子当成投资真是个人才！ 那富人为什么喜欢多生孩子，难道养育孩子比投资简单，孩子长大一定会带来更多财富？ 无数多的例子证明孩子并不能带来财富，富人难道不知道？生孩子是为了传承，也是人生必须经历的事情，更是维系夫妻恩爱的法宝。,湖南,2,4,481248001,221692049936
月轮栖身梦里,女,2024-05-16 00:59:14 北京时间,3,春运和五一的12306候补，各大热门景区的爆满，到底哪里人少了？我还嫌不够少呢，网上都说不生，现实里结婚就没有不生育的,江苏,2,6,32277200,221658741168
账号已注销,保密,2024-05-14 09:17:04 北京时间,3,谁有想让孩子重蹈覆辙呢？[妙啊],广东,0,0,397704721,221411915232
一般杂鱼,保密,2024-05-13 17:59:50 北京时间,3,别虚空索敌了，社会压力那么大，找个年轻人问问就行了。,广东,0,6,835800,221331585952
猜一个谜语,保密,2024-05-13 16:12:34 北京时间,3,越穷越能生吗？,广东,0,5,1662060066,221320827088
wlop今天更新了没,男,2024-05-13 11:17:26 北京时间,3,看完视频，感觉就是根据答案编过程，先是说过去养育成本和收益对比，论点是现在生育率下降是因为养育成本远远高于收益，但是论证过程中又说房价影响不高，因为日本无论房价高还是低，生育率一直在下降；这里up的逻辑出现了悖论，因为他放出了一张图，里面西欧国家的养育成本远远低于亚洲，但是总所周知西欧国家的生育率也是低了很多年了；所以按照up前面日本房价与生育率无关的逻辑，那这是否也能说明生育成本与生育率无关了？尤其最后说养育的好处远远高于坏处，但前面刚说韩国的生育政策好，生育率依然没有起色。视频像是为了醋包饺子，但是做出来了碗饺子面皮汤，只好把醋倒汤里再说了。,湖北,0,6,25242923,221272804448
权与力zzz,男,2024-05-13 10:41:15 北京时间,3,说一句00后现在最大的已经24喽。,湖北,0,5,538718548,221267066592
魔王-梦魇,男,2024-05-13 06:33:19 北京时间,3,这么多人，劳动力越来越廉价，生产需求也越来越多，人多不一定是好事，一辈子打工还房贷车贷，各种费用物价上涨，等存到钱了青春也早消失了,浙江,0,6,403150853,221235656912
姜夔官方账号,男,2024-05-12 12:56:40 北京时间,3,回答弹幕一个觉得up是主观臆想的网友：封建社会推孝道是为了稳固经济社会基础，但不代表孝不存在。至于生育问题，我自己都觉得已经拖爸妈后腿了，自己活着也是为了以后照顾年老后的父母。自己已经受罪了，如果娶妻生子那岂不是让老婆孩子和自己受更多罪?为了自己轻松点，为了只让自己受罪，单身一辈子挺好,吉林,0,5,430186075,221130850336
LinkGGm,保密,2024-05-12 07:19:45 北京时间,3,因为一些原因把生意转让掉了  想着找份工作搞搞，江苏这边大部分都是8小时单休4500左右  想拿个6000+就是12小时2班倒 虽然付出了这么多时间但这点工资真的要养活一家三口真的是要节省着来 大部分人努力付出了一辈子也就解决了温饱，没什么娱乐，没什么兴趣爱好，浑浑噩噩的一生就这么过完了，现在想得开的年轻人特别多，生育的成本太高，难免就有人躺平了，反正一句话 工时提高，把劳动法好好实行就他妈行了，一堆专家在那研究来研究去，一天到晚放狗屁，这些人拖累了老百姓一辈子,江苏,0,6,83552085,221080926112
熵减系统,保密,2024-05-10 11:31:59 北京时间,3,"我还没毕业，我妈就急着催婚了，每次回家都催我赶紧找女朋友，还给我推荐相亲对象，天天教育我以后一定要生一儿一女,老一辈的生育热情真是令人费解",浙江,1,5,432315646,220785442880
花间月0139,男,2024-05-08 00:55:43 北京时间,3,随便了，对妹子都没兴趣了，自己过挺好,贵州,0,6,507513390,220407726784
黄晃,保密,2024-05-04 08:52:17 北京时间,3,14年工资5000 ，24年工资5000,四川,0,4,17525443,219853877936
Silvery丶Light,保密,2024-05-04 08:28:21 北京时间,3,我有个学生，他父亲给他六年花了50多万培养足球，身边玩的人都是特长生不学习不着调，结果高考文化课没过，去了个职业学院，大二就把一个姑娘肚子弄大了，女方家长去学校闹事最后把他开除了，现在在朋友饭店烤串，现在培养孩子真的是亏本买卖，不可控因素太多了。,山东,1,5,211450823,219850602096
bili_77249326952,保密,2024-05-03 06:30:43 北京时间,3,穷人是最直接的消费端。穷人越少钱越不值钱。,四川,1,4,1712869568,219671028800
风中落叶终离去,保密,2024-04-30 21:44:20 北京时间,3,不结婚除了了没人收尸，其他时光开开心心,安徽,5,6,14598309,219302672304
将军街会玩的板筋,保密,2024-04-28 05:06:23 北京时间,3,以前一个人可以养4.5个孩子，现在，你能养活自己就不错了,河北,0,5,1232319840,218897216064
观今宜鉴古,男,2024-04-25 15:12:55 北京时间,3,特别讨厌人口红利的说法,马来西亚,0,5,14342806,218522162176
Iriscad,保密,2024-04-25 05:38:02 北京时间,3,地球ol√都不玩,浙江,0,6,393691635,218446068768
皮小曲,保密,2024-04-24 03:12:06 北京时间,3,90 00 这批人在工作这方面是最惨的，人多的一比，不好找工作，老了之后又没人了，养老估计都得不到保障,江苏,0,6,287950604,218279774080
你的一条小龙龙,男,2024-04-23 04:56:19 北京时间,3,没事啊，发达国家人口少，所以我们这是正在步入发达国家阶段,广东,0,5,403761688,218147724672
木已成舟5,保密,2024-04-23 04:32:38 北京时间,3,很多人意识不到，或者说知道也不会说，分配问题是最根本的问题，资本的增值远超过劳动力增值的速度，同时资本不需要费力，而劳动是我们真真切切地在出力。同时资本逃逸的能力又远超过劳动力，这导致不敢对资本征重税。但追根到底，自己攒起来的资本倒也没什么，这是劳动积攒而得，但继承法的存在就会让很多人一出生就差距过大，进而形成马太效应，类似古代的历史周期律。因此，我觉得继承的存在是分配难以合理的重要诱因，是不是根本原因我不敢说，但必然是重要因素。,福建,0,5,660463054,218144132080
烤鸭咖喱棒,保密,2024-04-23 01:20:54 北京时间,3,发展中国家太快是这样的，中高产都出国生孩子，现在在国内生孩子是对孩子不负责。。,加拿大,0,6,1892102,218122445856
Tweak_B,保密,2024-04-22 19:28:04 北京时间,3,25号宇宙，已经做出了解释,江西,1,5,200048698,218107917296
软软的毛球,保密,2024-04-22 14:08:13 北京时间,3,"嗨呀 鼓励多生是针对中产以上的优质家庭而言的 有钱有闲才能更好的养育 给予优质的教育资源,我这种拿着点小工资的底层 婚都不敢结 现在是啥魔幻的大环境啊,万一碰个骗婚 闪离的 再把父母半生打拼换来的婚房婚车分走一部分还活不活了 这些资源让养育你一生的父母享用他不香嘛,最骚的是现在官方还下场站台了可还行,所以不怪我们这代不生娃 婚都结不了 生个der,哦对 现在是黄毛版本 因为孩子非亲生不是你不付抚养费的理由 ,没有事前契约协议的话 离婚后一方收入不能维持正常水平还能起诉前任获取生活费和住房(或房租),可能目前的版本答案是签署婚前协议和把财产转移给父母再找个比自己条件好的了吧,反正目前这抽象的环境 在没有抵抗风险的前提下 结婚是不可能被考虑的情况 啊 真爱除外.........吧.....",河南,3,6,138069,218076627984
水迹的洗礼,女,2024-04-22 04:45:13 北京时间,3,up主说那么多没用的，就是不敢提最根本的几点问题所在，相反还在洗地[doge],广东,0,6,30316218,218003919680
坎坏,保密,2024-04-21 11:43:27 北京时间,3,我小时候就是吃稀饭喂母乳长大的，奶粉什么的想都不要想,四川,4,5,450464518,217911396752
井村无故事,保密,2024-04-21 06:15:15 北京时间,3,啥也不说了，让惊涛骇浪来的更猛烈些吧,上海,0,6,65430384,217866353152
nice大夫再救一个,保密,2024-04-20 22:40:48 北京时间,3,"我还有个弟弟，传宗接代交给他了，我就负责给爸妈养老得了。不想跟我爸妈似的天天吵架,没必要花钱找罪受",内蒙古,0,6,19120524,217815240400
尋找䥸䝟的龘䶛䨻䎱,保密,2024-04-20 11:40:59 北京时间,3,你瞅瞅你说的这叫什么话。我们是不生吗？我们说不生了吗？净搁这儿胡编乱造。我们那明明叫“调生”[doge],吉林,0,6,8706485,217750740544
萧唐初,男,2024-04-20 10:02:38 北京时间,3,只能说关我卵事，只希望社会尽量稳定不影响正常生活，然后活好自己,重庆,0,6,510034405,217735648400
东方君宝,保密,2024-04-20 08:02:44 北京时间,3,有人说什么机器坏了是要修的，问题是机器关了可以看作是无消耗，一台机器关1个月和1个人无工作1个月是同一回事吗，机器甚至可以报废卖铁，人可以报废直接火化吗。,江苏,2,5,592294234,217719792336
冰镇兔子2021,保密,2024-04-20 03:13:09 北京时间,3,没这么多原因就是算账不划算。现在去养个个孩子供到大学，大概率也只能做个拿万八千的，扣掉房租生活消费，根本指望不了孝敬父母。这还是大城市。,浙江,3,6,6336621,217682635056
小色无敌,保密,2024-04-19 18:24:16 北京时间,3,我就是八零后，这说的不就是我么[笑哭],新疆,0,5,277804469,217652030864
lorryfeng,保密,2024-04-19 16:59:02 北京时间,3,20后估计只有1亿人了...到时候真的是14亿人，有4亿是退休老人...3亿未成年人，7亿成年人，实际参加劳动只有6亿人...  工资1万，要缴纳社保5000的...,广东,0,6,360463737,217645439680
杨杨808,保密,2024-04-19 15:44:49 北京时间,3,有那么大的人口缺口，为啥还是那么多人找不到工作呢，不太理解,重庆,2,6,28573708,217636131664
hhh哈哈new,保密,2024-04-19 14:57:03 北京时间,3,我想结婚，但是现在的女生吧。。。都像小公主，没有人能有蕾姆那种温柔的感觉。根本不想恋爱。没有喜欢的，结什么婚。,福建,0,3,3546610606803650,217628746288
小花间游游游,保密,2024-04-19 14:10:39 北京时间,3,我这个ip的人是真的拖后腿喜欢生，随便举例一个亲戚家四个小孩生了七个孙，无语，越落后越喜欢生,贵州,0,5,476938988,217621310208
猪七七2018,保密,2024-04-19 13:52:11 北京时间,3,水总是向阻力最小的方向流淌，人其实也一样。,上海,1,5,360730098,217618232656
天行者寒冰雪,男,2024-04-19 13:13:32 北京时间,3,人口 不肯能无限增长，老龄化 是必然要面对的问题[doge],浙江,0,5,380527349,217612290176
霍恩拉姆,男,2024-04-19 10:58:30 北京时间,3,自己都那么遭罪 为什么要生个儿女出来和自己一样受罪,广东,0,6,26743709,217591980384
盗贼猫咪mk2,保密,2024-04-19 03:58:40 北京时间,3,双休和底薪都不能保证，保证生育？,江苏,0,6,13341271,217538982384
快去看漫画,保密,2024-04-19 01:18:55 北京时间,3,狠狠地赞了[笑哭][笑哭][笑哭]。这个道理我也跟身边的人说过，但是他们发自内心的抗拒这种观点。当然up比我说的更清晰简洁,河北,0,5,25747423,217521245408
CheemsBurgerrrr,男,2024-04-18 19:26:01 北京时间,3,车、房、教育、医疗，这四样绝对是绝大多数家庭开销最大的四样，但是这四样说白了，只是现代社会作为一个人最基本的四样（有安身之所、出行不受阻、能初步了解世界并有一技之长、有一个好身体），普通人真正花在享受上的钱其实又有多少呢？等于说累死累活大半生只是为了基本生存做保障，还不一定能达成这一点，那为什么在自己都没达成目标的情况下，再生孩子，多给自己加一份负担呢？并且很大可能还要看着自己的孩子也过这种日子。所以说为什么要从物质和精神方面双重折磨自己？有这受虐倾向，不如闲了多抽自己几巴掌[OK],四川,0,5,501752053,217506119104
我想去个地方J,保密,2024-04-18 13:54:06 北京时间,3,b站小孩少听这些up分析，中国的体量最差按照日本那样失落三十年甚至五十年都活得好好的，想生就生不想生就不生,广西,0,5,486957448,217470986016
喝椰子的魔理沙,女,2024-04-18 13:17:34 北京时间,3,老玩家拉新人入坑不没福利，还直接给老玩家加个debuff[龙年],河南,0,6,374769232,217465275632
离别只今年,保密,2024-04-18 08:11:59 北京时间,3,哈哈哈，说得挺有道理，笑死我了！,辽宁,0,5,105390960,217423398704
飝的人,保密,2024-04-18 05:33:50 北京时间,3,天性不是吃饭睡觉吗？,山东,0,5,689654429,217406838832
蘇小三,男,2024-04-18 04:20:26 北京时间,3,我还在为吃饭奔波！,广东,0,6,14485608,217396450240
账号已注销,保密,2024-04-18 02:57:14 北京时间,3,穷人绝了再过几十年不就都是富人了[星星眼],辽宁,3,0,5026723,217385817856
啥都说不出,保密,2024-04-18 02:28:17 北京时间,8,你年轻不生，老了没人管你，都知道你是孤老，周围人都会欺负你。还有。祖祖辈辈都是父压榨孩子，你不生俩，你不就吃亏了？,山东,22,5,497667641,217382764576
O纵横O,保密,2024-04-20 11:45:31 北京时间,5,最好的方法是：不干涉生育率，靠自然选择，不接受不孕主义的人的才会有后代，接受不孕主义的人过几代就会绝种，韩国人口基数少，可能遭不住这个自然选择，但是在某个国是完全可以的。其次，将生儿育女完全看做是经济行为是完全片面且错误的，我敢说绝大多数家庭，生儿育女都不是为了回报。。,江苏,4,4,1687189241,217751474976
